Duration,Startdate,Enddate,Startnumber,Start station,Endnumber,End station,Bike number,Membertype
10226,22-09-10 13:43,22-09-10 16:34,31604,3rd & H St NW,31604,3rd & H St NW,W00896,Casual
311,22-09-10 13:45,22-09-10 13:51,31011,23rd & Crystal Dr,31007,Crystal City Metro / 18th & Bell St,W00240,Member
310,22-09-10 13:45,22-09-10 13:51,31011,23rd & Crystal Dr,31007,Crystal City Metro / 18th & Bell St,W01097,Member
7386,22-09-10 13:53,22-09-10 15:56,31003,15th & Crystal Dr,31003,15th & Crystal Dr,W01025,Casual
2656,22-09-10 13:54,22-09-10 14:39,31201,15th & P St NW,31206,19th & E Street NW,W00830,Casual
7933,22-09-10 13:56,22-09-10 16:08,31604,3rd & H St NW,31606,Potomac & Pennsylvania Ave SE,W00540,Member
68,22-09-10 14:00,22-09-10 14:01,31000,Eads St & 15th St S,31007,Crystal City Metro / 18th & Bell St,W00819,Member
544,22-09-10 14:01,22-09-10 14:10,31204,20th & E St NW,31110,20th St & Florida Ave NW,W00289,Member
294,22-09-10 14:03,22-09-10 14:08,31007,Crystal City Metro / 18th & Bell St,31004,Aurora Hills Community Ctr/18th & Hayes St,W00134,Member
288,22-09-10 14:03,22-09-10 14:08,31007,Crystal City Metro / 18th & Bell St,31004,Aurora Hills Community Ctr/18th & Hayes St,W01097,Member
3008,22-09-10 14:03,22-09-10 14:53,31103,16th & Harvard St NW,31213,17th & K St NW,W00868,Casual
788,22-09-10 14:09,22-09-10 14:22,31106,Calvert & Biltmore St NW,31201,15th & P St NW,W00742,Casual
626,22-09-10 14:12,22-09-10 14:23,31203,14th & Rhode Island Ave NW,31110,20th St & Florida Ave NW,W00829,Member
186,22-09-10 14:23,22-09-10 14:26,31004,Aurora Hills Community Ctr/18th & Hayes St,31007,Crystal City Metro / 18th & Bell St,W01097,Member
524,22-09-10 14:23,22-09-10 14:32,31205,21st & I St NW,31200,Massachusetts Ave & Dupont Circle NW,W00869,Casual
132,22-09-10 14:24,22-09-10 14:26,31004,Aurora Hills Community Ctr/18th & Hayes St,31007,Crystal City Metro / 18th & Bell St,W00100,Member
852,22-09-10 14:28,22-09-10 14:43,31213,17th & K St NW,31213,17th & K St NW,W00492,Member
9067,22-09-10 14:29,22-09-10 17:00,31009,27th & Crystal Dr,31012,26th & S Clark St,W00332,Casual
8984,22-09-10 14:31,22-09-10 17:00,31009,27th & Crystal Dr,31012,26th & S Clark St,W01079,Casual
392,22-09-10 14:33,22-09-10 14:40,31204,20th & E St NW,31212,21st & M St NW,W00048,Member
1167,22-09-10 14:37,22-09-10 14:56,31104,Adams Mill & Columbia Rd NW,31213,17th & K St NW,W00353,Casual
1029,22-09-10 14:45,22-09-10 15:02,31110,20th St & Florida Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00780,Casual
323,22-09-10 14:46,22-09-10 14:51,31007,Crystal City Metro / 18th & Bell St,31011,23rd & Crystal Dr,W00100,Member
308,22-09-10 14:46,22-09-10 14:51,31007,Crystal City Metro / 18th & Bell St,31011,23rd & Crystal Dr,W00819,Member
